review,rating,date,userName
game nya bagus da kren,5,2025-11-08 20:13:39,Victor Martins
masih banyak BUG..,1,2025-11-08 19:48:02,BatfutuKev #B.O.S.S
selalu apdate terus,1,2025-11-08 19:37:49,Fanoh Laia
main gem,5,2025-11-08 19:29:10,PUBG GAMING
terpaksa player hp kentang harus pensi karena file terlalu besar.mungkin sekarang yang main bot semua,3,2025-11-08 19:17:34,Mast Ar
lebih real..kalau tidak ada recal di event...👍,2,2025-11-08 19:08:37,muhammad ansar
ngefrem parah setelah update 4.1,1,2025-11-08 19:06:36,Windo
Setelah di update koneksi internet eror tolong,5,2025-11-08 18:41:47,Pertama Oka
"sangat menghibur,,harus pintar punya skill dan reflek yg cepat..",5,2025-11-08 18:37:42,echan ina benga
kebanyakan Update,1,2025-11-08 18:35:12,Janter Henerik
"harap menunggu 300 detik sebelum login kembali, masalah server bla BLA BLA,, alah semakin lama semakin g jelas",4,2025-11-08 18:28:08,Novri
"Bisa mati orang maen game ini,1 match bisa 30 menitan buat sampe end game,musuh dah sisa sedikit zonanya yg dibuat lama,bisa ngg si di cut waktu zonanya,udh menang cuma dpt poin berapa UC mahal banget ngg ngotak",5,2025-11-08 18:21:04,M Septa
PUBG will have fewer players. Gacha using UC is very difficult to get elite skins and is very expensive. RP content isn't as good as it used to be. Every update to the device is crazy.,2,2025-11-08 18:17:10,Hari doo
"tolong untuk developer , mengupdate nya cukup ini aja. masak setiap permainan suruh update terus. ini aja sudah seru. jangan dikit2 ganti event. cukup ini aja. kasian untuk hp kentang terkadang ramnya tidak cukup untuk mengupdate nya. terutama hp saya,hp kentang. tolong untuk pengertiannya. memang bener pengalaman bermain saya kurang. mohon untuk pengertiannya .",3,2025-11-08 18:16:26,herfit nyaairin
kangen dari sisen 6,3,2025-11-08 18:13:07,Saprudin Ismail
"gimana car login ke FB nya , saya player lama ingin main kembali tapi tidak dapat melakukan login ke FB ,",2,2025-11-08 18:10:03,Dandi Alfandi
good game,5,2025-11-08 18:08:24,RAFA'A RAMADHANI PRATAMA Dhani
bagus,5,2025-11-08 17:56:00,Muhammad Khizbullah
old its gold 🥲,5,2025-11-08 17:55:27,Kamal Al Asri
lol update terbaru malh lag gak karuan diley telalu lama pdahal jaring stabil. malah dapet notif jarimgan kurang bagus.kocak kocak 🤬,5,2025-11-08 17:52:13,warau desu
kekurangan nya setiap ganti sesoan terlalu besar download ivent terbaru nya ... tolong agar di kurangi untuk setiap ganti sesoan nya... agar tidak terlalu besar.ganti season nya,3,2025-11-08 17:47:56,Satelit Ponsel
HP ku mati karna main pubg mobile lebih baik main FF dan ML,1,2025-11-08 17:44:25,Nazril AF
mantap aku suka banget main di PUBG MOBIL,5,2025-11-08 17:43:03,Suryani unyiel
👍🏻,5,2025-11-08 17:35:20,hocky sky
mantap,5,2025-11-08 17:33:28,Kopi Hitam
terlalu sulit,5,2025-11-08 17:32:30,Sochi Kamil
sempurna,5,2025-11-08 17:31:01,Bng ran988
tolong developer untuk download otomatis jagan lah di jalanin sendiri sudah di matikan tetep aja jalan download nya makin berat lah gamenya,4,2025-11-08 17:27:00,TOMY gamers꧂
grafis nya kok ngeblur sih,1,2025-11-08 17:26:31,Yoga Putra
ngeleg habis,1,2025-11-08 17:21:31,Punk Til
jelek,5,2025-11-08 17:20:54,Sahrul Ramadhan
Untuk PUBG Kenapa pas mau masuk pertandingan Patah2 mau Meluncur sama pesawat patah2 update macam apa kali ini ha,1,2025-11-08 16:36:54,Rohit Saputra
Masi epik dan seru si tapi selama bertahun-tahun aku nunggu senjata buatan PT PINDAD dimasukin biar tamba menyesuaikan dengan pemain dari INDONESIA,4,2025-11-08 16:36:41,Bang JJ
sangat menaraik,5,2025-11-08 16:35:17,filominus oleng
Lag,5,2025-11-08 16:21:24,Reah Reoh
kasih bintang 4 dulu. soalnya kalo abis update suka kebiasaan bug jaringan.,4,2025-11-08 16:17:49,Nurul Qamariyah
Pubg emang seru tapi update nya makin gede player yang hp nya kentang gk bisa main pubg kayak dulu lagi,5,2025-11-08 15:59:57,Made Lintang
game tolol,5,2025-11-08 15:55:37,Mafadas Ino
"Dari dulu saya suka fitur ngelag-nya, sebagai penanda kalo ada pemain asli disekitaran map.. Mantap..",1,2025-11-08 15:51:55,Ny Muslimin
seru,5,2025-11-08 15:23:55,Muhammad Aqil fadhil
"saya cukup risih, pas turun di event trus landing di atap malah nyangkut. terus barusan lagi pake mobil tiba tiba ketabrak truk, lah bukannya kena damage malah mental keatas, alhasil pas mobil jatuh langsung di tembak musuh. gabisa kah, kalo semisalnya kita nabrak truck pas pake mobil itu kena damage? bukan mental keatas? tiap mau login suka ada update 2-20mb buat skin, masa iya gabisa nge fix ini?",1,2025-11-08 15:03:06,Rhebi
"update 4.1 tambah berat di in game nya beda sama yang 4.0 lebih ringan, tolong perbaiki di ivent 4.1 ini yang agak ringan",4,2025-11-08 15:00:15,piki pikz
"lagi dan lagi sangat kecewa dengan update terbaru ini,padahal saya sudah menunggu lama untuk bisa membuka 120 fps walaupun di grafik sangat mulus. tetapi saya tetap tidak mendapat peningkatan opsi frame rate.padahal saya rasa kuat untuk bermain 120 fps stabil di grafik super smooth.bahkan mendapat opsi frame rate 90 fps saja tidak kebagian(mentok 60 fps) kapan iqoo z9 5g mendapatkan update 90 fps",1,2025-11-08 14:48:45,Muhammad Dzaky
game taik,1,2025-11-08 14:43:56,Aisyah Novia Wulandari
tolong saya sebagai player PUBG saya merasa tidak terima sekali kanapa di saat saya chicken itu poin saya naik sedikit suda begitu pas saya tusun itu atau mati di awal game kenapa poin saya mengurang begitu bayang saya merasa tidak terima dengan semua itu saya merasa rugi sekali tolong di perhatikan itu,1,2025-11-08 14:23:18,Donny BAPAIMU
seru,5,2025-11-08 14:18:05,Emanuel Manter
"sgat menghibur, jauhkan dari citerr",5,2025-11-08 14:16:16,REFLIN LUTA LAPU GRAB
"fix lag, sering drop fps, bnyak bug, player IPAD bedakan server kayak emulator biar adil, ipad tu bedakan server biar adil",1,2025-11-08 13:59:34,dav battle royale
game cukup bagus. dan sangat cocok untuk hp entry level. asal bisa ngesetting pengaturan grafik nya...,5,2025-11-08 13:41:55,Aris Nurcahyo
gamenya seru bang,5,2025-11-08 13:07:07,Haikal Kurnia
PUBG emang gada lawan PUBG NO1,5,2025-11-08 13:04:11,Hendra Ahmad
luar biasa dan air mata yang mengalir ke rekening dalam yang ada ✅ dan yang bersih di hati 💕 di yang yang 🚸 yang di di pada 🚸 yang ⚎ di Indonesia sekolah ⚎ di Indonesia yang dan penting kamu bahwa mereka akan merindukan seseorang yang yg sayang lakukan aku aja juga kak udah ada yg bisa 🙆 dan tidak ada akan tau osan yang ⚎ di Indonesia yang ke dua tiga sekolah antaranya bener paling ga bisa 🙆 di hati sekolah akan merindukan kamu yang ⚎,5,2025-11-08 12:55:28,Rolex Sport
sangat seru,5,2025-11-08 12:41:07,sahril ramadhan
"JADI JELEK DAN GAK KREATIF TEMA2 NYA,",1,2025-11-08 12:40:21,Melvin Lazzarus
"aduh akun udah lama gak di pakai malah ke hack mau login udah gak bisa, lupa ID nya lagi udah top up banyak yah gimana lagi nasib game sampah kurang sistem operasi ke aman na nya dan respon yang lelet yah gitu deh malas main lagi moga ajak akun kalian gak kena hack, saran saja mending di jual aja kalau punya akun lama sama udah sultan kasian kalau kena hack seperti saya",1,2025-11-08 12:33:07,Adi Ardiansyah
mantab👍,5,2025-11-08 12:17:05,Copk
good game,4,2025-11-08 11:45:16,Inengah sabda adiarta
update yang besar jadi ga bisa update aku,1,2025-11-08 11:38:30,Gede Tirta
setelah update makin ngeframe hp,2,2025-11-08 11:26:28,irfan ali hasan
not fun anymore because cheater,1,2025-11-08 11:12:05,Gxxz Player
"Kok pas ingame kadang"" kok ngelag ya? Habis pembaruan ini kok agak ngelag"" ya punya saya padahal sebelum pembaruan masih baik"" aja?? Tolong tencent kenapa ya ini???",3,2025-11-08 11:07:50,PGS Austin
beh ini gem seru banget gua ketagihan bet liat gerafik nya aja dah bagus behhhh pokonya seru banget dah di jamin semua orang yang download pubg bakal senang,5,2025-11-08 10:54:31,Djarian Kota
ga sesuai ekspektasi,2,2025-11-08 10:15:55,syafaaulian syah
game nya real mantap the best pokonya,5,2025-11-08 10:13:44,PUBG Mobile
"setelah update 4.1 ini jadi banyak bug buat hp ku, awalnya make super smooth bisa unlock fps High tapi abis update malah balik ke medium, sensitivitas juga makin gak enak udah gitu sering banget bangunannya gak kerender waktu turun dari pesawat",2,2025-11-08 10:12:22,Adhi Saipul
Tolong ini gara² update miror nya pubg saya gk bisa di buka 😭🙏,5,2025-11-08 10:06:16,Abid
mohon dipercepat download saat apdtate,5,2025-11-08 09:57:27,Evaristo Da Costa
semoga HP Ram kecil gak ngelak,5,2025-11-08 09:53:01,Suryadi
❤️🔥,5,2025-11-08 09:41:56,BONITOBOXING22 BENFICA22
"kenapa kok tiba-tiba keluar sendiri dari aplikasi, lagi main malah keluar sendiri.. makin aneh.",1,2025-11-08 09:30:40,Ageng Bayu
MASIH BANYAK PEMAIN CURANG,1,2025-11-08 09:26:51,NDJS REMIX
game ini sangat lah bagus apalgi ketika lawan Abang abangan rorrrr,5,2025-11-08 09:16:08,Gunawan Tanak awu
👍,5,2025-11-08 09:02:07,Morfhiana Mor
"setidaknya jangan terlalu banyak"" update makin kesini makin berat game. terus min pubg tolong jangan sering"" kasih delay di dalam game.",1,2025-11-08 08:50:31,Sayiah Athya
"Kenapa habis update 4.1, Pubg nya stak di tulisan STARTING...",2,2025-11-08 08:25:42,Jokowi Widodo
"saya ingin bermain game PUBG bukan mendengarkan musik yang tidak ada habisnya dengan menghabiskan waktu saat matching / memasuki permainan / pertempuran di lobby, waktu yang sangat lama tapi tidak juga memasuki pertempuran",1,2025-11-08 08:24:16,MULYAMAH Mamah
tolong rendahin gb nya jadi mb seperti 567mb gak papa jangan 108gb 🙏,1,2025-11-08 07:52:06,Fatma Faza
seru-seruan aja main gem ini syaa,5,2025-11-08 07:40:38,Ferry Rianto
game nya bagus sih tapi ada yg kurang kami sebagai pemain PUBG saya ingin menanyakan bolehkah ditambah barang barang armor contohnya termal yg bisa di pasang di helm sama senjata angin oiya itu mohon ditambah di mode Clasik nya ya 😁😁,4,2025-11-08 07:38:28,Nathan Yoel
bagussss,5,2025-11-08 07:38:14,ama moses
apk ni sanagat bagus namun yg terbaru ada yg masih belum oke sikit,5,2025-11-08 07:33:31,Hey Ho
game pubg mobile emang seru tpi mohon perkembangan soal mendapatkan skin yg tidak sanggup untuk meng gacha skin kasih lah kesempatan untuk dapat skin yg gratis dan mewah pasti bakal rame lagi ni PUBG kaya dulu thanks semoga di majukan,5,2025-11-08 07:08:34,IQRAK M'I
Saya lihat pubg ini mulai memikirkan bagaimana caranya agar para pengguna hp spek kntng...ya mau bagaimanapun kalau j2prime ya pasti patah patah🖒,5,2025-11-08 06:19:50,Tegar Herzt
"setelah update 4.1 mic headset saya tidak berfungsi,sudah saya rilock masih tidak bisa,dan ngebug"" yg lainny seperti tidak terdengar suara tembakan dan step musuh, semoga setelah seasen sudah tidak ada lagi kayak begini",3,2025-11-08 05:41:36,Moh Soufi Rido
"setiap update versi, penyimpanan semakin besar, untuk sebuah game android ini sudah terlalu besar sampai 45 GB, tolong kedepannya supaya ukuran penyimpanan bisa dikompres lebih kecil, kalau tidak dipikirkan bisa jadi ini game menyentuh 100GB sendiri",1,2025-11-08 05:17:05,Niko Robith Asyhari
Apalah Setelah Update Patch Malah Mic Ga Bisa Buat Ngomong 🥱🥱,1,2025-11-08 05:03:55,Ndu Pandu
mantap,5,2025-11-08 04:58:25,Aeifudin Arifud8n
"Hi PUBG MOBILE.tolong benahi performa,terutama di even yg udah banyak ribuan umat ngeluh main di even suka nge'freeem kalu pas turun di even pas banyak yg turun semua map jadi batu.&setelah normal kami sudah mati. semenjak ada even menurut saya permainan game ini semakin berat,apalagi setiap upgrate versi terbaru kenapa harus full all yg harus di download,seharusnya yg sudah di download tidak perlu lagi di download.bikin penyimpanan hp semakin berat.kasian dengan devise yg minim.",5,2025-11-08 04:50:38,Mas Djarwo888
PUBG udah ga asik. penyimpanan nya makin hari makin besar dan sekarang pun saya liat kapten Zan sudah mulai bosen dengan PUBG yang muali sepi karna penyimpanannya yang makin besar. dan yang bikin saya jenuh koin silver yang gambar baju malah di batasi. PUBG udah ga seru kaya dulu,1,2025-11-08 04:43:45,NYONK 23
"knp semua player pd mengerujut di peta eranger aja sih? peta lainnya jg gak terpakai. Sulit menemukan player yg mo gabung bermain. bermain duo dan singgle pun sulit pendptkan partner dan sulit msuk ke game nya seakan2 gak ada yg lg main. kedua, knp kalo kalah di awal pengurangan poinnya terlalu byk? Tp klo di pertengahan dan kemenangan poin yg naik cm sedikit? ketiga, game2 yg gak penting utk dimainkan knp digelar jg sih? bikin akun semakin berat utk dijlnkan.",1,2025-11-08 03:26:12,Nurdiantoro Mukti Wibowo
ahh sibal,5,2025-11-08 02:37:56,entin wartini
seruu,5,2025-11-08 02:23:04,Muhamad rezki fauzan
"updated 4.1 , makin lag",3,2025-11-08 02:06:28,angeli azril
Mantap,5,2025-11-08 01:57:16,Dinno Hadi Syaputra
"MAIN DAIRI SEASON 2.. SEMPET FAKUM . 5 TAHUN . BANYAK PERUBAHAN . UPDATE TERUS,! UNTUNGNYA HP GW 265GB",5,2025-11-08 01:47:38,Joe Febrian
"tak usah berbicara panjang, intinya pubg mobile benar""top dan keren dari dahulu👍👍👍",5,2025-11-08 01:27:41,Syukran Wp
"Game APA KAU WOIII,GAME 3 TAHUN LGI MATI MAKIN BERAT GBLOK WOIII",1,2025-11-08 01:13:05,xdestroy ganteng17
Mantappu Jiwa...!!! 👍🏻💪🏻😁,5,2025-11-08 00:53:32,Chiesa Bimo Radityatama Pribadi
kapasitas semakin besar dan untuk hp ram 4 kaya gua masih maksa main,5,2025-11-08 00:40:15,Mas Putra
bagus,5,2025-11-08 00:37:33,Padil 123
sangat bagus,5,2025-11-08 00:31:10,Nas Rudin
good,5,2025-11-08 00:26:51,Agus Setiawan
"Gak nemu nemu player asli, semuanya bot ... PUBG SEKARANG BANYAK BOT GAK SERU",1,2025-11-08 00:20:26,Ryo Wang
bug suara dan para cheater,1,2025-11-08 00:09:14,Ciko
"saya turun kan ,karena update terbaru ini bug frame rate nya tidak bisa 120 fps,pdahal di pengaturan sudah ultra extreme,tapi di in game cuma 60 fps",2,2025-11-08 00:01:25,Josua Pransisko
"3,72 GB 😥😢",2,2025-11-07 23:47:01,Pengguna Google
"Ini kenapa ya di updatenya gagal mulu pas udah 92%, akhirnya gua hapus aplikasinya eh pas gua download lagi masih kayak gitu juga-_- udah 5x nyoba loh!",5,2025-11-07 23:40:22,Raihan Syauqi
woy gua main dari season 2 sampe sekarang ga di kasih kasih m4 glacier KASIH GUA M4 GLACIER,1,2025-11-07 23:34:04,Mhmdd Aditiya
"Gak ngerti lagi gw sama ini game makin lama makin gak jelas,apalagi update an terbaru,bug voice,udah gitu ping tinggi terus kalo main event,update aja terus skin dan lain lainnya yang gak guna,gak usah di benerin bug dan pengalaman bermain nya,gak lama lagi mati ini game pasti.",1,2025-11-07 23:25:17,Harie santossa
"game rusak tlol, barusan updt 4.1 , patah"" ngelag gajelas , bnyak bug saat movement, lagi main tiba2 koneksi server terputus. paok emang sibuk dagang skin mulu bjirrr.",1,2025-11-07 23:20:31,arzan fy
"kenapa pas update malah banyak bug nya, sensi hilang gyro nya kebalik.. udh di stel ulang malah gk bisa.. rugi bener",2,2025-11-07 23:19:47,Wadi atullah
seru,5,2025-11-07 23:15:25,Bima Ajishywa
lumayan seruu,4,2025-11-07 23:15:24,Andik Susanto
👍,5,2025-11-07 23:11:35,Agu Agu
sehabis update tombol ny gk cpt respon delay terus sangat mengganggu permainan dan masih byk bug game bgsd,1,2025-11-07 23:02:08,Fikri 64
"AQ suka hiburan,tapi tolong perketat lagi untuk yg pake cheat",5,2025-11-07 22:59:54,Mus Limin
mantap...,5,2025-11-07 22:32:13,Shancez yourbe
Beralih ke bintang 2 aja lah. Saya pengguna game ini cukup lama. Semakin lama kok semakin parah bug nya. Setiap main pink selalu tinggi terus. Saya harap game ini agar cepat di perbaiki,3,2025-11-07 22:32:03,Renol Agustianda
Game ini Terlalu terbaik☺️,5,2025-11-07 22:23:26,NicolauC Samfrus Mat
aku suka,5,2025-11-07 22:17:49,Jos Leby
lemooottt banget sumpah,2,2025-11-07 22:14:17,Fitri Jannah
untuk developer tolong jangan banyak bug terus nih game🙏,5,2025-11-07 22:06:12,Muchammad Rifqi
"makin kesini kok makin banyak botnya yaa, lagi enak²nya perang plh Di datangi bot, Gak usah pake bot napa yaa!....",5,2025-11-07 22:00:14,Tri Wahyudin
"storage is to large, always problem with connection, lag,",1,2025-11-07 21:58:38,Roi Napitupulu
aku senang banget sama PUBG Ini,5,2025-11-07 21:46:55,Dedy Jumhar
"tolong klo setiap update jangan besar giga byte nya lama"" ini game bisa di tinggal sama player karena makan ruang terlalu besar",5,2025-11-07 21:45:04,Indra Dermawan
"sebenarnya ini game terbaik, sayangnya hp gua aja yng kurang mendukung wkwkwk",5,2025-11-07 21:44:06,Raditya Mbergedes
Game Terbaik Sepanjang Masa,5,2025-11-07 21:40:00,Adam Jordhy
"pubg makin kesini makin berat ajaa, kebanyakan event udah kaya game epep ajaa, hp gw kemarin aja lancar² sekarang update jadi patah² banget kalo bisa tolong di perbaiki la",2,2025-11-07 21:38:05,dw chanel
"rehat dari season 12, dan akhir nya main lagi, masa tier ku masih diamond ketemu tim dan lawan nya ace dominator, kan aneh.",3,2025-11-07 21:36:04,Muhammad Basron
ok lah,5,2025-11-07 21:33:24,Toto
"ko update skrg jadi besar bgt sih. petualangan nya itu"" aja. tolong dong jgn terlalu ngabisin ruang klo update dan jgn suka keluar permainan sndiri. karna update nya itu""aja dan terlalu banyak keluhannya. bintang nya saya kurangin dulu. tolong di perbaiki lg ya. mksh",3,2025-11-07 21:28:06,Neng Yanti
mantap,5,2025-11-07 21:20:48,Acep Jamalludin
kenapa GK bisa masuk udah di download berapa kalai,5,2025-11-07 21:16:56,maksum.habibi nainggolan maksum habibi nainggolan
tolong untuk cheater segera di tindak lanjuti,1,2025-11-07 21:15:40,thio ariyadi
"saya main dari minggu kedua dari awal realese...sempat vacuum di tahun 2022 - 2024...masih bisa di mainkan seperti sebelumnya,hanya saja kawan lama sudah tidak ada lagi yang aktif...merasa ada sesuatu yang kurang...tetapi secara keseluruhan,cukup keren",5,2025-11-07 21:08:33,andrie 3184
fkk always update,1,2025-11-07 20:59:49,I Putu Mahendra Tanaya
mantap wak,5,2025-11-07 20:55:20,Dani Haryanto
"segala hal baik dari mulai grafis gameplay efent semua ok, cuman masalah nya jaringan low dikit aja terputus dari server, log in game lain baik baik aja padahal YouTube juga lancar lancar aja, giliran log in PUBG susah banget server not respond terus",2,2025-11-07 20:51:19,Janjan Sukmana
bagus,5,2025-11-07 20:46:02,Izul Jul
bagus,5,2025-11-07 20:45:52,Tray Hardies
Kenapa jd susah login via facebook ya deuhhhh... Akun sudah 6 tahun padahal,3,2025-11-07 20:42:56,Ririe Setyobudi
suka macet,1,2025-11-07 20:41:49,Basir Bunyai
"hampir 8 tahun main, gak bisa bosan dengan PUBG mobile❤️❤️❤️",5,2025-11-07 20:36:58,Novan Setiawan
perbaiki lagi update an baru ini,4,2025-11-07 20:21:32,Erza Mawardi
"fitur dowload otomatis tidak guna, dowload otomatis yang tidak perlu, coba contoh tuh game mobile legends ada fitur buat jeda dowload, jadi gamenya tidak mendownload secara otomatis",1,2025-11-07 20:21:29,GBG
uda malas main game ini... makin di update tambah berat,1,2025-11-07 20:17:08,ichalpubgm pace
game yang asyik buat aeŕu-seruan,5,2025-11-07 20:16:25,Apip Pudin
gacor bngt pokoknya mah,5,2025-11-07 20:15:38,fikrialfarisi
"saya punya keluhan ketika sama bermain tiba""ada eror seperti layar game nya eror layar terpisah seperti kerusakan pada hp tolong di perbaiki erornya supaya pengalaman bermain saya bisa kembali lagi",3,2025-11-07 20:15:19,Sindy Fadila
mic sering ngebug tolong d benahi dong,3,2025-11-07 20:13:13,Ndaru Setyawan
"mantap, mengingatkan di sesion awal kenangan",5,2025-11-07 20:06:36,Lia Uyul
event Godzilla the best,5,2025-11-07 20:00:03,Widya Artha
ok,5,2025-11-07 19:58:36,Dynnn MLBB
good,5,2025-11-07 19:57:31,Doni Lolowang
"tolong ini di perbaiki knapa setelah update banyak bug,yaitu.waktu lagi main tiba² ngelag padahal jaringan bagus itu baru bagus klo kita udah mati waktu di loby juga aman jaringan bagus² aja.Tapi nanti klo udah terjun atau udah nyampe buat ngelooting ,tiba²langsung nglag parah.udah itu ranknya juga lumayan banyak berkurang,tolong di kasih kartu khusus agar rank tier ndak turun",4,2025-11-07 19:56:41,Ibraael
