review,review_clean,review_processed,rating,sentiment,date,userName
"eh kocak kalo kasi redzone tu yang bener ya, udah bot nya damage gede klo kena spray player kelar udah, masa redzone nebak 1 detik posisi player gak realistis, lu cuma bangun emosi pemain bukan keseruan pemain! terus kalo main tdm, ai nya ga ngotak kayak citer minimal kalo tdm jangan pake AI, kalo akun yang ga kepake hapus aja ato kasi peringatan bukan lu pake buat sistem nyusahin player nya!!",eh kocak kalo kasi redzone tu yang bener ya udah bot nya damage gede klo kena spray player kelar udah masa redzone nebak detik posisi player gak realistis lu cuma bangun emosi pemain bukan keseruan pemain terus kalo main tdm ai nya ga ngotak kayak citer minimal kalo tdm jangan pake ai kalo akun yang ga kepake hapus aja ato kasi peringatan bukan lu pake buat sistem nyusahin player nya,kocak kasi redzone tu bener bot damage gede kena spray player kelar redzone nebak detik posisi player realistis bangun emosi pemain keseruan pemain main tdm ai ngotak kayak citer minimal tdm pake ai akun kepake hapus ato kasi peringatan pake sistem nyusahin player,1,negatif,2026-04-23 17:36:44,E7 EYE
nunggu untuk mulai game sangat lama,nunggu untuk mulai game sangat lama,nunggu game,1,negatif,2026-04-23 16:35:31,Mandiri Menghidupi
"tolong level infitif, peebaiki masalah jaringan ketika saya main, jaringannya selalu merah, dan di kasih fitur untuk hp kentang agar saat bermain lancar, tanpa lag sedikit?",tolong level infitif peebaiki masalah jaringan ketika saya main jaringannya selalu merah dan di kasih fitur untuk hp kentang agar saat bermain lancar tanpa lag sedikit,tolong level infitif peebaiki jaringan main jaringannya merah kasih fitur hp kentang bermain lancar lag,3,netral,2026-04-23 15:13:16,Dilan Ramadan
"Sistem rank naik ke ace kenapa dibuat seperti mobile legend ,Tencent ,,,jangan lah di grading"" sistem rank",sistem rank naik ke ace kenapa dibuat seperti mobile legend tencent jangan lah di grading sistem rank,sistem rank ace mobile legend tencent grading sistem rank,5,positif,2026-04-23 14:40:40,arya denontoseno
Gak bisa masuk mempersiapkan sumber daya mulu,gak bisa masuk mempersiapkan sumber daya mulu,masuk sumber daya mulu,5,positif,2026-04-23 14:10:50,Rofi Ahmad
Hilangkn grayding✊✊,hilangkn grayding,hilangkn grayding,3,netral,2026-04-23 14:07:44,Rasta
"bagus tapi saya gak suka di bom. tadi saya di bom sama teman sendiri karena saya luting, padahal saya gk ada salah, pas di lapor diya masih bisa main",bagus tapi saya gak suka di bom tadi saya di bom sama teman sendiri karena saya luting padahal saya gk ada salah pas di lapor diya masih bisa main,bagus suka bom bom teman luting salah pas lapor diya main,5,positif,2026-04-23 13:04:37,Bukan Angga
pubg penipu lah,pubg penipu lah,pubg penipu,1,negatif,2026-04-23 12:49:28,Lalu Jay
"tolong di perbaiki ,di hp saya ram 3 sering patah-patah+ngeleg dan sejenis nya ,makasih",tolong di perbaiki di hp saya ram sering patahpatahngeleg dan sejenis nya makasih,tolong perbaiki hp ram patahpatahngeleg sejenis makasih,5,positif,2026-04-23 12:24:28,ahmad Firin (firin)
seru banget kayak main beranteman gitu kadang kadang suka manunggal,seru banget kayak main beranteman gitu kadang kadang suka manunggal,seru kayak main beranteman gitu kadang kadang suka manunggal,5,positif,2026-04-23 11:54:09,Alesa Nayla Melati
sistem grading tolong dihps ya developer kikir udh 3× gagal naik👎,sistem grading tolong dihps ya developer kikir udh gagal naik,sistem grading tolong dihps developer kikir gagal,1,negatif,2026-04-23 11:54:08,Bot Djancok
"SAMPAI JUMPA DI LAIN WAKTU, GW UDAH UNINSTAL GAME INI KARENA BERKURANGNYA TEMAN MABAR DAN EVENT² KURANG SERU DAN JUGA HANDPHONE YANG UDAH MAU NGOS2AN🤣🤣🤣 BUT, KLO KANGEN PASTI DWNLOAD LGI KOK... SALAM USER 2018 🤠🤠🤠😎👏🏻👋🏻👋🏻👋🏻 #dasenghillgp #asepfamily #captikus-cakram55% #wolayko",sampai jumpa di lain waktu gw udah uninstal game ini karena berkurangnya teman mabar dan event kurang seru dan juga handphone yang udah mau ngosan but klo kangen pasti dwnload lgi kok salam user cakram,jumpa uninstal game berkurangnya teman mabar event seru handphone ngosan but kangen dwnload lgi salam user cakram,5,positif,2026-04-23 11:45:01,Christian Langi
"gak kuat hp ku jir lah, lag dan patah patah parah lagi",gak kuat hp ku jir lah lag dan patah patah parah lagi,kuat hp ku jir lag patah patah parah,3,netral,2026-04-23 11:30:41,Muhammad Rizwandi
gak pernah main tapi seru,gak pernah main tapi seru,main seru,4,positif,2026-04-23 11:26:23,Linda Patma wati
Ya Allah kok peci lama amat lama lama lama lama lama,ya allah kok peci lama amat lama lama lama lama lama,allah peci,1,negatif,2026-04-23 11:23:30,Alfazil Ferdiansyah
Grading nyusahin.,grading nyusahin,grading nyusahin,1,negatif,2026-04-23 10:56:51,LUTFI ARDIANSYAH19
"makin lama makin gk jelas, jaringan sering drop padahal sinyal aman",makin lama makin gk jelas jaringan sering drop padahal sinyal aman,jaringan drop sinyal aman,1,negatif,2026-04-23 10:41:57,Zher or
seru,seru,seru,5,positif,2026-04-23 10:22:58,Nani Nani
game apa ni nunggu matchmaking sejam anj,game apa ni nunggu matchmaking sejam anj,game ni nunggu matchmaking sejam anj,5,positif,2026-04-23 09:16:14,Galang
"min kapan Gilt sandsylph scion come back lagi, mau dong min dicome backin Gilt itu mau gacha banget 🥲",min kapan gilt sandsylph scion come back lagi mau dong min dicome backin gilt itu mau gacha banget,min gilt sandsylph scion come back min dicome backin gilt gacha,2,negatif,2026-04-23 08:04:39,Irma Irma
"sesuai dengan apa yang saya harapkan, lanjutkan developer jangan dengerin orang orang hama",sesuai dengan apa yang saya harapkan lanjutkan developer jangan dengerin orang orang hama,sesuai harapkan lanjutkan developer dengerin orang orang hama,5,positif,2026-04-23 07:50:59,DJ GABUT
the application is good,the application is good,the application is good,5,positif,2026-04-23 07:48:23,MUHAMMAD AL FARREL SATRIAJI
game pelit gacha gak pernah dapet m4 es mending main ml,game pelit gacha gak pernah dapet m es mending main ml,game pelit gacha dapet es mending main ml,3,netral,2026-04-23 07:44:22,Jangan Di
tolong pubg kembalikan sistem naik rank seperti dulu ga usah grading kaya gini,tolong pubg kembalikan sistem naik rank seperti dulu ga usah grading kaya gini,tolong pubg kembalikan sistem rank grading kaya gini,1,negatif,2026-04-23 05:37:39,Notoprayitno 48
game nya bagus,game nya bagus,game bagus,5,positif,2026-04-23 02:54:34,Day Rumaropen
hapus grading!,hapus grading,hapus grading,1,negatif,2026-04-23 02:39:28,Takacol 06
"main fpp udah ga bisa, lama banget nunggunya ga kelar2",main fpp udah ga bisa lama banget nunggunya ga kelar,main fpp nunggunya kelar,1,negatif,2026-04-23 02:27:40,Ajung Boy
kenapa tidak bisa mengubah usia di pengaturan?,kenapa tidak bisa mengubah usia di pengaturan,mengubah usia pengaturan,4,positif,2026-04-23 00:06:23,dzaki haryono
Nice,nice,nice,5,positif,2026-04-22 23:53:57,maulana yusup
"Baru sy main , tapi asik juga untuk mengisi waktu kosong,",baru sy main tapi asik juga untuk mengisi waktu kosong,sy main asik mengisi kosong,3,netral,2026-04-22 22:58:06,Kasi Asie
dah ga seru semenjak ada grading rank mau bar2 jadi takut karna banyak musuh ngendok,dah ga seru semenjak ada grading rank mau bar jadi takut karna banyak musuh ngendok,dah seru semenjak grading rank bar takut musuh ngendok,1,negatif,2026-04-22 22:52:16,Irvan Satria
bagus meyenagnkan,bagus meyenagnkan,bagus meyenagnkan,5,positif,2026-04-22 22:44:16,Riki 1234
pepek lah grading bikin nyusahin.... bukannya lebih seru malah bikin emosi mainnya,pepek lah grading bikin nyusahin bukannya lebih seru malah bikin emosi mainnya,pepek grading bikin nyusahin seru bikin emosi mainnya,1,negatif,2026-04-22 22:37:38,Ryan Adysamsara
buat apa ngadain sistem greding sattt,buat apa ngadain sistem greding sattt,ngadain sistem greding sattt,1,negatif,2026-04-22 22:05:05,ikyy
good,good,good,5,positif,2026-04-22 21:40:24,Maute Ida
seru game nya,seru game nya,seru game,4,positif,2026-04-22 21:14:49,Priyono Destha
sistem ranknya bikin report gak jelas tolong rubah lagi kayak yang season dulu,sistem ranknya bikin report gak jelas tolong rubah lagi kayak yang season dulu,sistem ranknya bikin report tolong rubah kayak season,1,negatif,2026-04-22 21:05:55,Adhy nugra Pratama
apasih jaringan bagus malah ada peringatan kesalahan jaringan apasih,apasih jaringan bagus malah ada peringatan kesalahan jaringan apasih,apasih jaringan bagus peringatan kesalahan jaringan apasih,1,negatif,2026-04-22 21:01:53,Muhamad Irwandi
ini teman ku mau main PUBG tapi HP nya Oppo RAM2 apakah bisa main PUBG dengan lancar,ini teman ku mau main pubg tapi hp nya oppo ram apakah bisa main pubg dengan lancar,teman ku main pubg hp oppo ram main pubg lancar,5,positif,2026-04-22 20:53:37,Rosinha Oqui
game tidak ramah,game tidak ramah,game ramah,5,positif,2026-04-22 20:50:25,Sela Met
keras sekali🔥🔥🔥,keras sekali,keras,5,positif,2026-04-22 20:33:24,Herman Syah
sangat bagus,sangat bagus,bagus,5,positif,2026-04-22 20:26:52,Rios Samma
HAPUS SISTEM PROMOSI NAIK RANK WOI,hapus sistem promosi naik rank woi,hapus sistem promosi rank woi,1,negatif,2026-04-22 20:20:18,Filipus Bernard
tetep aj trus klo gk bisa login masuk ny gmn hapus aplikasi ny kh,tetep aj trus klo gk bisa login masuk ny gmn hapus aplikasi ny kh,tetep aj trus login masuk ny gmn hapus aplikasi ny kh,1,negatif,2026-04-22 20:19:53,Fadhil Adha
"bagus sih tapi sayang minim senjata, ammo, dan medikitnya haduuhhhh",bagus sih tapi sayang minim senjata ammo dan medikitnya haduuhhhh,bagus sayang minim senjata ammo medikitnya haduuhhhh,3,netral,2026-04-22 19:45:00,Fattur B.R
"please delete rank promotion matches, because I'm stuck on Ace😭, I want to try Ace master even dominator, but promotion matches are very difficult because I'm not good at playing pubg, and I was always teased by my friends because my rank was always there and never went up and the enemy is not equal to me, why is it that when I am Ace the enemy is a dominator, please delete this system😭🙏",please delete rank promotion matches because im stuck on ace i want to try ace master even dominator but promotion matches are very difficult because im not good at playing pubg and i was always teased by my friends because my rank was always there and never went up and the enemy is not equal to me why is it that when i am ace the enemy is a dominator please delete this system,please delete rank promotion matches because im stuck on ace want to try ace master even dominator but promotion matches are very difficult because im not good at playing pubg and was always teased by my friends because my rank was always there and never went up and the enemy is not equal to me why is it that when am ace the enemy is dominator please delete this system,5,positif,2026-04-22 19:22:25,Kevin Kevin
"rasanya jadi males main karena sistem greding bikin emosi, cnthnya grading kurang 1x lgi trus klh masa smuanya jdi hilang, intinya sistem greding untuk sbagian player itu ""MENYUSAHKAN"" tolong hilangkan atau ringankan sistem greding",rasanya jadi males main karena sistem greding bikin emosi cnthnya grading kurang x lgi trus klh masa smuanya jdi hilang intinya sistem greding untuk sbagian player itu menyusahkan tolong hilangkan atau ringankan sistem greding,males main sistem greding bikin emosi cnthnya grading lgi trus klh smuanya jdi hilang intinya sistem greding sbagian player menyusahkan tolong hilangkan ringankan sistem greding,2,negatif,2026-04-22 18:38:29,Pejantan Introvet
cukup puas,cukup puas,puas,5,positif,2026-04-22 18:32:39,Arie Putra
game bagus namun kalo efek mati jangan hijau kayak mati aja gak udah pake asap ijo,game bagus namun kalo efek mati jangan hijau kayak mati aja gak udah pake asap ijo,game bagus efek mati hijau kayak mati pake asap ijo,3,netral,2026-04-22 17:27:23,Kince Essing
terpaksa hapus karena tdk bisa masuk lewat akun,terpaksa hapus karena tdk bisa masuk lewat akun,terpaksa hapus tdk masuk akun,1,negatif,2026-04-22 17:20:13,Pua paradise Pua paradise
sering ngecrash / keluar sendiri padahal device masih bagus,sering ngecrash keluar sendiri padahal device masih bagus,ngecrash device bagus,2,negatif,2026-04-22 16:42:33,Adam
"Tolong FPSNYA kalo Bisa Di tingkatkan Untuk HP Kentang,",tolong fpsnya kalo bisa di tingkatkan untuk hp kentang,tolong fpsnya tingkatkan hp kentang,1,negatif,2026-04-22 16:34:05,Mia
saya suka dengan gradingnya lebih menantang 🔥🔥🔥,saya suka dengan gradingnya lebih menantang,suka gradingnya menantang,5,positif,2026-04-22 15:16:55,Saidul Dull
"dead game. nyari match FPP, sama TPP solo/duo bisa sampe 10 menit. udah pake mode bahasa, non-bahasa, ganti map, multi-queue, dll. sama aja, zonk.",dead game nyari match fpp sama tpp soloduo bisa sampe menit udah pake mode bahasa nonbahasa ganti map multiqueue dll sama aja zonk,dead game nyari match fpp tpp soloduo sampe menit pake mode bahasa nonbahasa ganti map multiqueue zonk,1,negatif,2026-04-22 14:55:15,Agcrismanto Budhi Praswastyka
matching metro royal terlalu lama.. ujung2 gak bisa matching..,matching metro royal terlalu lama ujung gak bisa matching,matching metro royal ujung matching,1,negatif,2026-04-22 14:43:23,Baftazukha Qisthi Ahaddin
mantapzzz,mantapzzz,mantapzzz,5,positif,2026-04-22 13:35:01,Pengguna Google
enak banget main nya kaya dunia asli walaupun baru belajar,enak banget main nya kaya dunia asli walaupun baru belajar,enak main kaya dunia asli belajar,5,positif,2026-04-22 13:16:05,Pangeran
knapa peningkatan rank nya diubah maksa banget buat mau dimainin ni game Hade......,knapa peningkatan rank nya diubah maksa banget buat mau dimainin ni game hade,knapa peningkatan rank diubah maksa dimainin ni game hade,1,negatif,2026-04-22 13:07:30,Muh Restu
EVENT GAJELAS SISTEM ASUUUU HARUS SELESAIKAN GRADING BARU NAIK PANGKAT RIBETTTT,event gajelas sistem asuuuu harus selesaikan grading baru naik pangkat ribetttt,event gajelas sistem asuuuu selesaikan grading pangkat ribetttt,1,negatif,2026-04-22 12:53:09,Doni Setiawan
"woy kerafton scop nya balikin ke gradasi hitam ,pas lagi buka scope x6,x3,x4 kek game sebelah aja jadi polosan kurang realistis",woy kerafton scop nya balikin ke gradasi hitam pas lagi buka scope xxx kek game sebelah aja jadi polosan kurang realistis,woy kerafton scop balikin gradasi hitam pas buka scope xxx kek game sebelah polosan realistis,1,negatif,2026-04-22 12:26:21,Patrick star
gw kecewa pas ganti HP verifikasi udh tpi ya jgn 1 opsi cuman SMS doang,gw kecewa pas ganti hp verifikasi udh tpi ya jgn opsi cuman sms doang,kecewa pas ganti hp verifikasi tpi opsi cuman sms doang,1,negatif,2026-04-22 11:55:40,X Shido
woi gw gabisa nuker baju aoi Todo😠,woi gw gabisa nuker baju aoi todo,woi gabisa nuker baju aoi todo,5,positif,2026-04-22 11:43:54,Habibi Batin
"""Matching"" terlalu lama harus banget 100 pemain",matching terlalu lama harus banget pemain,matching pemain,5,positif,2026-04-22 10:47:10,Triyono Tiyo
masalah nya sy main masih delay banget,masalah nya sy main masih delay banget,sy main delay,4,positif,2026-04-22 10:18:43,Piwpiw Piwpiw
grafik jadi blur di pas main padahal di lobby hd,grafik jadi blur di pas main padahal di lobby hd,grafik blur pas main lobby hd,1,negatif,2026-04-22 10:17:29,I Gusti Putu Ardita Utama_10
"metro royale gak bisa dimainin gak masuk masuk gw nunggu ampe 30 menit tetap gak masukk ,krn kurang pemain,klo emng gitu ngapain masi di adain klo emng peminatnya gk bnyk,kita yg suka main jdi kesusahan👎👎👎👎",metro royale gak bisa dimainin gak masuk masuk gw nunggu ampe menit tetap gak masukk krn kurang pemainklo emng gitu ngapain masi di adain klo emng peminatnya gk bnykkita yg suka main jdi kesusahan,metro royale dimainin masuk masuk nunggu ampe menit masukk pemainklo emng gitu ngapain masi adain emng peminatnya bnykkita suka main jdi kesusahan,2,negatif,2026-04-22 09:51:56,Thary Esthza
"need more inprovement to many bot so not cool, fpp that no body play it anymore .... to many mode that to big file for the phone need more improvement for the mechanic like the pc,to fast for the game progress .., not to worth to download 30 giga if the graphic not improve ... now theres delta force that with much better graphic and game play need more improvement like the pc game play,",need more inprovement to many bot so not cool fpp that no body play it anymore to many mode that to big file for the phone need more improvement for the mechanic like the pcto fast for the game progress not to worth to download giga if the graphic not improve now theres delta force that with much better graphic and game play need more improvement like the pc game play,need more inprovement to many bot so not cool fpp that no body play it anymore to many mode that to big file for the phone need more improvement for the mechanic like the pcto fast for the game progress not to worth to download giga if the graphic not improve now theres delta force that with much better graphic and game play need more improvement like the pc game play,2,negatif,2026-04-22 09:36:55,Tirmelin A.K
"mantap bang, ga kikir kikir amat",mantap bang ga kikir kikir amat,mantap bang kikir kikir,5,positif,2026-04-22 09:06:37,Alex Singa
event nya membosankan,event nya membosankan,event membosankan,1,negatif,2026-04-22 08:04:48,Bung Apitrianto
saya benar benar sangat terkesan dengan pubg kalian wajib coba pengalaman bermain seperti. nyata,saya benar benar sangat terkesan dengan pubg kalian wajib coba pengalaman bermain seperti nyata,terkesan pubg wajib coba pengalaman bermain nyata,5,positif,2026-04-22 06:21:02,Airlangga
Sedikit puas karena peningkatannya tapi masih kurang puas karena yang tiada berpunya hanya bisa melihat yang ber-uang memiliki set bagus,sedikit puas karena peningkatannya tapi masih kurang puas karena yang tiada berpunya hanya bisa melihat yang beruang memiliki set bagus,puas peningkatannya puas tiada berpunya beruang memiliki set bagus,4,positif,2026-04-22 05:59:26,Zaky Adlan
oke,oke,oke,5,positif,2026-04-22 05:47:43,Akhmad Syamsudin
Permainan yang sangat menyerukan,permainan yang sangat menyerukan,permainan menyerukan,5,positif,2026-04-22 05:44:09,Mohammad Harits Maulana
kurang ooooo,kurang ooooo,ooooo,5,positif,2026-04-22 03:33:04,Agus Rivai
centang grading udah di kurangi 1 oke lah tapi tetap sulit masi bnyak gagal tapi masalahnya kenapa sekarang di batesin poin rang nya cuma sampai 5500 kalonlolos greding cuma stag di domi 15 terus yang banyk gagalnya kek sia sia dong ini aja gua belum naik naik domi gagal mulu tolong lah,centang grading udah di kurangi oke lah tapi tetap sulit masi bnyak gagal tapi masalahnya kenapa sekarang di batesin poin rang nya cuma sampai kalonlolos greding cuma stag di domi terus yang banyk gagalnya kek sia sia dong ini aja gua belum naik naik domi gagal mulu tolong lah,centang grading kurangi oke sulit masi bnyak gagal batesin poin rang kalonlolos greding stag domi banyk gagalnya kek sia sia gua domi gagal mulu tolong,1,negatif,2026-04-22 03:20:04,Sahrial Agus Mardian
"assu bgt ni game, naik paling 6-10 point.. gliran minus nyampe -30 -40.. bangke game kontlo... grading2 taingasu lah",assu bgt ni game naik paling point gliran minus nyampe bangke game kontlo grading taingasu lah,assu ni game point gliran minus nyampe bangke game kontlo grading taingasu,1,negatif,2026-04-22 03:12:19,LiveETH
setres makin berat ini apk,setres makin berat ini apk,setres berat apk,1,negatif,2026-04-22 02:13:14,Adi Priatna
game top sepanjang Tahun...tapi tolong perbaiki gameplay saat main di event yang agar disesuaikan dengan kondisi hp player..karna main clasik beda saat main di event berat,game top sepanjang tahuntapi tolong perbaiki gameplay saat main di event yang agar disesuaikan dengan kondisi hp playerkarna main clasik beda saat main di event berat,game top tahuntapi tolong perbaiki gameplay main event disesuaikan kondisi hp playerkarna main clasik beda main event berat,5,positif,2026-04-22 02:04:35,Rubianto Sentosa
terlalu bug pada game,terlalu bug pada game,bug game,1,negatif,2026-04-22 01:38:28,Memet MR
"untuk grafik super smooth, menurut saya belum super smooth, menurut saya grafik super smooth itu tekstur mirip kaya pubg lite (grafik rata kanan dan tanpa bayangan untuk semua perangkat).terimakasih",untuk grafik super smooth menurut saya belum super smooth menurut saya grafik super smooth itu tekstur mirip kaya pubg lite grafik rata kanan dan tanpa bayangan untuk semua perangkatterimakasih,grafik super smooth super smooth grafik super smooth tekstur kaya pubg lite grafik kanan bayangan perangkatterimakasih,5,positif,2026-04-22 01:22:58,Kamaluddin Nur
sangat bagusss sekali,sangat bagusss sekali,bagusss,5,positif,2026-04-22 01:15:49,Fadil saifudin
Pakah Masi layak di mainkan lagi ga bagus lagi apus lagi,pakah masi layak di mainkan lagi ga bagus lagi apus lagi,pakah masi layak mainkan bagus apus,5,positif,2026-04-22 00:17:51,Dayat Dayatselebor
sistem grading sangat memberatkan,sistem grading sangat memberatkan,sistem grading memberatkan,1,negatif,2026-04-22 00:17:03,Iqbal Mustafeed
"Ram ya semakin banyak, jadi ga bisa di downloads",ram ya semakin banyak jadi ga bisa di downloads,ram downloads,1,negatif,2026-04-22 00:15:02,Faza Haidar
sejak update sekarang pubg kebanyakan makan data internet suka download sendiri lah apa lh,sejak update sekarang pubg kebanyakan makan data internet suka download sendiri lah apa lh,update pubg kebanyakan makan data internet suka download lh,1,negatif,2026-04-21 23:51:45,Muhammad Imann
"developernya keren, Sunda baik, Viking keren.",developernya keren sunda baik viking keren,developernya keren sunda viking keren,5,positif,2026-04-21 23:17:36,Mimsyad Dainuri
ok lah,ok lah,ok,5,positif,2026-04-21 22:53:49,Deguel Sadut
mau naik ice aja susah mending hapus aja sistem granding,mau naik ice aja susah mending hapus aja sistem granding,ice susah mending hapus sistem granding,1,negatif,2026-04-21 22:21:03,Sirpal Amar
"tambah males aja main game ini, udah pelit sekarang di tambah lagi laga naik tier apaan coba",tambah males aja main game ini udah pelit sekarang di tambah lagi laga naik tier apaan coba,males main game pelit laga tier coba,1,negatif,2026-04-21 22:20:40,Teddy Lx
to be honest too much upgrade that actually kinda useless i Miss the old PUBG tho but it is what it is,to be honest too much upgrade that actually kinda useless i miss the old pubg tho but it is what it is,to be honest too much upgrade that actually kinda useless miss the old pubg tho but it is what it is,5,positif,2026-04-21 21:45:39,Azhar
"sebagai pemain lama (2019) yang sempat vakum main PUBG, memutuskan online dan ON lagi karena sesama pemain lama ON LAGI, banyak sekali perbedaan. 1.Sistem BOT yang semakin sulit dibedain player asli/BOT (⭐5) 2.Waktu tunggu MAP selain Erangel semakin lama bisa sampai 3-4menitan walau sudah merubah sistem sesuai bahasa, MAP ERANGEL paling lama cuma 1menit (⭐1) 3.terlalu banyak UI (HUB,showroom koleksi, dan Metro Royale) bikin bingung kalau salah geser(⭐1) perbaiki waktu tunggu selain ERANGEL",sebagai pemain lama yang sempat vakum main pubg memutuskan online dan on lagi karena sesama pemain lama on lagi banyak sekali perbedaan sistem bot yang semakin sulit dibedain player aslibot waktu tunggu map selain erangel semakin lama bisa sampai menitan walau sudah merubah sistem sesuai bahasa map erangel paling lama cuma menit terlalu banyak ui hubshowroom koleksi dan metro royale bikin bingung kalau salah geser perbaiki waktu tunggu selain erangel,pemain vakum main pubg memutuskan online on pemain on perbedaan sistem bot sulit dibedain player aslibot tunggu map erangel menitan merubah sistem sesuai bahasa map erangel menit ui hubshowroom koleksi metro royale bikin bingung salah geser perbaiki tunggu erangel,2,negatif,2026-04-21 21:45:24,Andre Meyer
"apalah ni game jaringan bagus cuma ni pabji yang leg, event kaga bisa di buka, teman nga bisa di undang, padahal versi sebelum aman aman aja",apalah ni game jaringan bagus cuma ni pabji yang leg event kaga bisa di buka teman nga bisa di undang padahal versi sebelum aman aman aja,apalah ni game jaringan bagus ni pabji leg event kaga buka teman nga undang versi aman aman,1,negatif,2026-04-21 21:42:37,Sai Akuto
greding nya gak masuk akal,greding nya gak masuk akal,greding masuk akal,1,negatif,2026-04-21 21:34:14,Aji Pamungkas TI 4A
"hilangkan grading, karna merugikan player yang biasa karna pro player sengaja gx main grading supaya bisa cicken terus,",hilangkan grading karna merugikan player yang biasa karna pro player sengaja gx main grading supaya bisa cicken terus,hilangkan grading merugikan player pro player sengaja gx main grading cicken,1,negatif,2026-04-21 21:31:29,Dea Azzahra
pass mendownloadnya itu ulang ulang terus tidak mau terpasang tolong di teg,pass mendownloadnya itu ulang ulang terus tidak mau terpasang tolong di teg,pass mendownloadnya ulang ulang terpasang tolong teg,1,negatif,2026-04-21 21:28:07,Kelvin
"min tolong sinyalnya diperbaiki pingnya jelek banget, atau emang xl yang busuk ya",min tolong sinyalnya diperbaiki pingnya jelek banget atau emang xl yang busuk ya,min tolong sinyalnya diperbaiki pingnya jelek xl busuk,5,positif,2026-04-21 21:25:08,mumu 95
developer kikir kasih grading ga adil,developer kikir kasih grading ga adil,developer kikir kasih grading adil,1,negatif,2026-04-21 21:20:14,Tuby pinguin
kok gak bisa di instal?,kok gak bisa di instal,instal,1,negatif,2026-04-21 21:10:21,Arfa alfatih
"naik poin aja susah amat nih game, naik turun terus.. naik domi poin 15 aja susah amat apalagi concu",naik poin aja susah amat nih game naik turun terus naik domi poin aja susah amat apalagi concu,poin susah game turun domi poin susah concu,2,negatif,2026-04-21 21:08:42,Tuan Moezza
"pubg saya gak bisa dibuka ,,stuck aja ni ,bagaimana admin ??,,mohon solusinya minnn",pubg saya gak bisa dibuka stuck aja ni bagaimana admin mohon solusinya minnn,pubg dibuka stuck ni admin mohon solusinya minnn,1,negatif,2026-04-21 20:12:42,Muhammad novriadi
giro nya nggak bisa aktif,giro nya nggak bisa aktif,giro aktif,5,positif,2026-04-21 20:10:27,Khairuaddin
hai level infinity aku sangat suka gema buatan mu aku kasih bintang 5 dan aku juga main hok,hai level infinity aku sangat suka gema buatan mu aku kasih bintang dan aku juga main hok,hai level infinity suka gema buatan mu kasih bintang main hok,5,positif,2026-04-21 19:58:34,Arva
pelayer nya modal kil afk,pelayer nya modal kil afk,pelayer modal kil afk,1,negatif,2026-04-21 19:53:21,Ricat Nule
"Add blue hit effect, please 🥹🥹",add blue hit effect please,add blue hit effect please,1,negatif,2026-04-21 19:48:01,Khoirul Anam
